"","date","MtCO2.per.day"
"527",2020-06-10,12.00522612
"528",2020-06-11,11.83198211
"529",2020-06-12,11.81545125
"530",2020-06-13,10.75639216
"531",2020-06-14,10.17063373
"532",2020-06-15,11.08393094
"533",2020-06-16,11.20212977
"534",2020-06-17,11.31769814
"535",2020-06-18,11.87747199
"536",2020-06-19,12.22536741
"537",2020-06-20,11.63314822
"538",2020-06-21,10.98412074
"539",2020-06-22,12.34262677
"540",2020-06-23,12.50618093
"541",2020-06-24,12.28318901
"542",2020-06-25,12.36619877
"543",2020-06-26,12.34395062
"544",2020-06-27,11.69279038
"545",2020-06-28,11.23510227
"546",2020-06-29,12.07790675
"547",2020-06-30,12.20298328
"548",2020-07-01,12.52749711
"549",2020-07-02,13.18441288
"550",2020-07-03,13.03626259
"551",2020-07-04,12.05659344
"552",2020-07-05,12.19635007
"553",2020-07-06,12.95256353
"554",2020-07-07,13.07454952
"555",2020-07-08,13.17281374
"556",2020-07-09,13.31644717
"557",2020-07-10,13.48384286
"558",2020-07-11,12.65077466
"559",2020-07-12,12.14062686
"560",2020-07-13,12.83682903
"561",2020-07-14,12.88475085
"562",2020-07-15,13.14410294
"563",2020-07-16,13.26732
"564",2020-07-17,13.23135561
"565",2020-07-18,12.69032267
"566",2020-07-19,12.49957952
"567",2020-07-20,13.45844509
"568",2020-07-21,13.51649565
"569",2020-07-22,13.46672787
"570",2020-07-23,13.17369445
"571",2020-07-24,13.35024622
"572",2020-07-25,12.50082476
"573",2020-07-26,12.88894636
"574",2020-07-27,13.77024421
"575",2020-07-28,13.79047817
"576",2020-07-29,13.60805556
"577",2020-07-30,13.63965304
"578",2020-07-31,13.4995606
"579",2020-08-01,12.58037471
"580",2020-08-02,12.22142739
"581",2020-08-03,12.84687319
"582",2020-08-04,12.48272907
"583",2020-08-05,12.59045699
"584",2020-08-06,12.63822065
"585",2020-08-07,12.63175601
"586",2020-08-08,12.20662974
"587",2020-08-09,12.53312667
"588",2020-08-10,13.58514454
"589",2020-08-11,13.68048472
"590",2020-08-12,13.52479883
"591",2020-08-13,13.77365666
"592",2020-08-14,14.1560677
"593",2020-08-15,13.420215
"594",2020-08-16,13.00291791
"595",2020-08-17,13.51670151
"596",2020-08-18,13.55798406
"597",2020-08-19,13.31548071
"598",2020-08-20,13.20530347
"599",2020-08-21,13.56034236
"600",2020-08-22,13.05444171
"601",2020-08-23,12.42561525
"602",2020-08-24,13.30606659
"603",2020-08-25,13.51741469
"604",2020-08-26,13.04542164
"605",2020-08-27,13.28917311
"606",2020-08-28,13.32263418
"607",2020-08-29,12.31852731
"608",2020-08-30,11.50887098
"609",2020-08-31,12.22578061
"610",2020-09-01,13.20510832
"611",2020-09-02,13.55329379
"612",2020-09-03,13.70511
"613",2020-09-04,13.77772867
"614",2020-09-05,12.53052837
"615",2020-09-06,11.49570052
"616",2020-09-07,11.71384298
"617",2020-09-08,12.4283963
"618",2020-09-09,12.7413544
"619",2020-09-10,12.99073468
"620",2020-09-11,13.29576284
"621",2020-09-12,12.14368552
"622",2020-09-13,11.73946379
"623",2020-09-14,12.5747548
"624",2020-09-15,12.54913838
"625",2020-09-16,12.55791954
"626",2020-09-17,12.71845389
"627",2020-09-18,12.63142453
"628",2020-09-19,11.50255859
"629",2020-09-20,10.51904579
"630",2020-09-21,11.14525227
"631",2020-09-22,11.61544802
"632",2020-09-23,11.6693369
"633",2020-09-24,11.74269491
"634",2020-09-25,11.83570247
"635",2020-09-26,10.9192555
"636",2020-09-27,10.7019426
"637",2020-09-28,11.21640813
"638",2020-09-29,11.65703786
"639",2020-09-30,11.42168969
"640",2020-10-01,11.95212979
"641",2020-10-02,12.06670401
"642",2020-10-03,11.54073696
"643",2020-10-04,11.11028926
"644",2020-10-05,11.38054762
"645",2020-10-06,12.04227195
"646",2020-10-07,12.12190004
"647",2020-10-08,11.9984926
"648",2020-10-09,12.07610401
"649",2020-10-10,11.35301848
"650",2020-10-11,10.76252914
"651",2020-10-12,11.86456378
"652",2020-10-13,12.0030119
"653",2020-10-14,11.71040069
"654",2020-10-15,11.77808251
"655",2020-10-16,12.35958369
"656",2020-10-17,11.279975
"657",2020-10-18,11.33283571
"658",2020-10-19,12.89585528
"659",2020-10-20,12.6559643
"660",2020-10-21,12.41093248
"661",2020-10-22,12.32480071
"662",2020-10-23,12.53695636
"663",2020-10-24,12.3618041
"664",2020-10-25,11.8363746
"665",2020-10-26,12.95929358
"666",2020-10-27,13.38486081
